Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
59,Whole development could management medical small throughout.,2025-05-09,2025-05-10,9.78,Bug,Low,Admin,U04
60,Size day operation get drop range.,2025-06-08,2025-06-12,9.51,Improvement,High,Admin,U09
61,Moment stuff father administration.,2025-04-02,2025-04-09,1.98,Improvement,Low,Support,U04
62,Choice race official generation so.,2025-06-16,2025-06-19,8.59,Feature,Low,Support,U05
63,Know section property dinner statement beyond computer.,2025-03-15,2025-03-18,4.5,Bug,Medium,Research,U10
64,Production among student produce.,2025-02-18,2025-02-25,3.11,Feature,Low,Research,U07
65,Southern Republican source analysis agree.,2025-02-14,2025-02-23,4.59,Bug,High,Admin,U03
66,Weight fish plant occur.,2025-05-29,2025-06-01,8.89,Improvement,Medium,Research,U09
67,Big deal election soldier nor rule.,2025-05-02,2025-05-04,8.51,Feature,Medium,Support,U01
68,Pattern reveal check always foreign statement force forget.,2025-05-10,2025-05-14,9.98,Improvement,Low,Support,U09
69,At number daughter anyone land dream.,2025-05-25,2025-06-04,9.74,Improvement,Low,Support,U03
70,Difficult front give be.,2025-04-04,2025-04-07,5.37,Improvement,Medium,Research,U07
71,Market account very.,2025-03-04,2025-03-06,3.6,Feature,High,Support,U01
72,Morning lot color song message.,2025-05-29,2025-06-08,9.02,Feature,High,Technical,U02
73,Long lawyer suddenly card.,2025-03-28,2025-04-01,7.0,Bug,Low,Admin,U03
74,Seek thing window nice movement.,2025-02-11,2025-02-16,5.02,Feature,Medium,Admin,U03
75,Father firm music happen part work long try.,2025-03-25,2025-03-31,8.3,Improvement,High,Technical,U10
76,Could north color success involve parent.,2025-05-05,2025-05-07,1.66,Feature,High,Admin,U04
77,Big represent teacher old over artist.,2025-03-12,2025-03-14,5.39,Improvement,High,Admin,U10
78,Mission just try call hour spring.,2025-02-12,2025-02-14,5.62,Bug,Medium,Admin,U09
79,Since crime myself now throw.,2025-04-02,2025-04-12,7.23,Bug,Low,Technical,U03
80,Unit chair test history garden next.,2025-01-06,2025-01-13,7.8,Bug,Low,Research,U09
81,Skin way others thought include agent base.,2025-06-12,2025-06-19,9.64,Feature,Low,Technical,U04
82,Term eat PM may west avoid.,2025-04-28,2025-05-01,7.42,Feature,Low,Admin,U05
83,Get ever cold six gun you.,2025-02-25,2025-03-07,7.04,Improvement,High,Admin,U06
84,Action born green himself.,2025-03-31,2025-04-06,9.14,Bug,Low,Support,U10
85,Special eat heart account perform control share.,2025-02-02,2025-02-10,2.23,Improvement,High,Research,U05
86,Deal expert decade material term.,2025-01-14,2025-01-24,2.34,Bug,High,Technical,U05
87,Beautiful worry their serve.,2025-01-23,2025-01-30,7.16,Improvement,High,Technical,U05
88,Which whom meeting wide staff would where.,2025-03-15,2025-03-18,8.91,Improvement,Low,Technical,U05
89,Social reality before author able.,2025-01-16,2025-01-26,4.61,Feature,Low,Research,U05
90,Accept suddenly easy.,2025-05-18,2025-05-23,3.79,Feature,Low,Research,U07
91,Break according sea left.,2025-04-02,2025-04-11,5.02,Bug,Medium,Technical,U10
92,Decade meeting American.,2025-01-31,2025-02-02,5.67,Bug,Low,Admin,U08
93,Forward deal visit full camera.,2025-01-12,2025-01-22,7.11,Bug,High,Admin,U08
94,Benefit building fish region during food institution.,2025-05-27,2025-06-04,4.3,Feature,Medium,Technical,U03
95,Service ball building example and fly.,2025-05-28,2025-06-02,1.36,Improvement,High,Technical,U09
96,Performance approach note degree figure world alone.,2025-02-16,2025-02-20,1.9,Feature,High,Admin,U07
97,Really yes account movement.,2025-02-26,2025-02-28,4.89,Improvement,High,Admin,U06
98,Last fear war floor.,2025-03-14,2025-03-18,9.05,Improvement,Low,Support,U06
99,Traditional west talk modern suggest fill send.,2025-04-23,2025-04-26,5.48,Feature,High,Technical,U03
100,Full pay pass believe.,2025-01-13,2025-01-23,4.07,Feature,Low,Research,U01
101,It respond adult whom.,2025-04-28,2025-05-05,8.29,Feature,Medium,Support,U06
102,Determine professor bad property professional fear amount.,2025-03-05,2025-03-09,9.34,Improvement,High,Research,U08
103,Try society likely detail.,2025-04-25,2025-04-26,1.8,Feature,Medium,Admin,U09
104,Expert might hospital evidence.,2025-02-14,2025-02-24,8.61,Improvement,Low,Support,U07
105,Deep big tax born.,2025-02-09,2025-02-19,7.22,Feature,Medium,Technical,U01
106,Detail authority cold production.,2025-02-12,2025-02-17,9.47,Feature,High,Support,U05
107,Major another break natural again budget.,2025-04-19,2025-04-25,2.88,Improvement,Low,Support,U07
108,Economic soldier suddenly senior talk back maintain.,2025-01-30,2025-02-05,5.82,Improvement,Medium,Support,U03
109,Sit any wind less war nature environmental.,2025-01-29,2025-02-08,4.61,Improvement,Medium,Admin,U05
110,Perform serve security prove attack arrive.,2025-06-01,2025-06-05,6.46,Feature,Low,Admin,U09
111,Executive picture issue.,2025-03-31,2025-04-03,6.51,Improvement,Low,Research,U10
112,Mouth Democrat indicate financial morning language age skill.,2025-04-22,2025-04-28,3.89,Bug,Low,Support,U07
113,Campaign necessary respond why thus.,2025-03-27,2025-04-05,8.66,Feature,Medium,Research,U07
114,Still agency hard become teach service discuss.,2025-04-09,2025-04-18,4.59,Improvement,Low,Admin,U07
115,Seat beat interesting them.,2025-01-20,2025-01-30,2.49,Improvement,Low,Support,U04
116,Sea example artist year bed.,2025-02-12,2025-02-20,8.71,Feature,Low,Support,U07
117,Week wall so very provide.,2025-05-18,2025-05-23,4.35,Improvement,High,Support,U04
118,Back mention history enter now letter.,2025-03-21,2025-03-24,6.71,Bug,High,Technical,U05
119,Simply process somebody minute after.,2025-01-29,2025-01-31,6.53,Improvement,Low,Research,U05
120,Deep office choice player service too alone.,2025-05-27,2025-06-05,4.74,Bug,High,Admin,U09
121,Pay beyond nothing network offer room big.,2025-05-30,2025-06-09,4.9,Bug,Low,Admin,U01
122,Eye rule sound list certain surface.,2025-01-08,2025-01-14,4.92,Bug,Low,Support,U03
123,Why attack chair talk federal.,2025-05-15,2025-05-23,2.62,Improvement,Medium,Support,U02
124,Reflect feel science write.,2025-02-15,2025-02-19,9.05,Bug,Medium,Admin,U07
125,Standard successful beautiful establish yard involve travel.,2025-03-07,2025-03-14,6.62,Improvement,Medium,Support,U05
126,Low current material participant.,2025-04-21,2025-05-01,9.73,Improvement,Low,Admin,U07
127,Positive artist arm speech task.,2025-01-20,2025-01-22,2.78,Feature,High,Support,U09
128,Movie seat study building hair country security.,2025-01-19,2025-01-20,6.78,Feature,High,Research,U07
129,Eye garden data within.,2025-06-07,2025-06-08,1.9,Improvement,High,Admin,U10
130,Would policy federal close.,2025-05-04,2025-05-05,4.58,Bug,Low,Research,U08
131,Strategy produce age remember truth wrong lead.,2025-04-15,2025-04-21,1.76,Feature,Medium,Admin,U07
132,Around operation radio thank.,2025-01-14,2025-01-16,6.71,Improvement,High,Research,U04
133,Fill not specific life almost thing tonight.,2025-05-18,2025-05-26,6.64,Feature,High,Support,U01
134,Bill sound behavior common program glass measure.,2025-02-18,2025-02-27,3.52,Improvement,High,Technical,U07
135,Become put go region rock fish want.,2025-06-06,2025-06-12,7.16,Bug,Low,Technical,U04
136,Describe evidence best dinner including with.,2025-06-14,2025-06-21,1.12,Feature,Medium,Research,U06
137,Establish stop develop play arrive.,2025-05-02,2025-05-07,9.55,Bug,Low,Support,U06
138,Important instead affect still enjoy group manager.,2025-04-05,2025-04-14,1.49,Bug,High,Research,U02
139,Vote consider responsibility.,2025-05-23,2025-06-02,7.11,Improvement,Medium,Technical,U07
140,Take return to couple another teacher fish garden.,2025-04-30,2025-05-05,5.07,Improvement,Low,Technical,U09
141,My bad life somebody stay clear.,2025-06-02,2025-06-12,6.22,Bug,High,Research,U04
142,Nothing success water class.,2025-03-15,2025-03-17,8.32,Bug,High,Support,U09
143,Despite cell war now tree left.,2025-05-17,2025-05-24,6.44,Bug,Medium,Research,U05
144,Inside no tonight everything strong ten tell.,2025-02-03,2025-02-12,5.87,Feature,Low,Support,U07
145,More month rise just before.,2025-01-27,2025-01-28,2.87,Bug,Medium,Research,U01
146,Drive fly experience make kind.,2025-04-26,2025-05-04,5.47,Bug,Medium,Research,U02
147,Arrive force dinner difficult treatment.,2025-02-14,2025-02-20,6.99,Improvement,Medium,Research,U09
148,Stop civil help mother eye our.,2025-01-05,2025-01-15,6.69,Feature,High,Technical,U06
149,Sometimes letter standard wish safe something.,2025-04-01,2025-04-11,9.55,Improvement,Medium,Admin,U02
150,Four language tend form discussion.,2025-06-03,2025-06-09,8.62,Feature,Medium,Admin,U05
151,Agency town happy positive question.,2025-01-31,2025-02-06,1.18,Feature,High,Admin,U10
152,Word answer glass.,2025-06-09,2025-06-12,5.4,Feature,Low,Technical,U06
153,Film news notice yet.,2025-04-18,2025-04-26,8.81,Bug,Low,Support,U07
154,Standard serious type land stage have.,2025-06-07,2025-06-17,8.11,Bug,Medium,Admin,U03
155,Word huge line word right say down.,2025-06-10,2025-06-18,3.42,Improvement,Low,Support,U08
156,Everything land send seem his loss yourself.,2025-04-13,2025-04-19,2.72,Improvement,Low,Admin,U02
157,What could service two toward else.,2025-03-04,2025-03-08,1.8,Bug,Medium,Research,U05
158,Laugh boy sell opportunity as.,2025-04-01,2025-04-03,3.76,Bug,High,Admin,U04
159,Left control seem military practice local her.,2025-04-01,2025-04-07,7.18,Improvement,High,Admin,U09
160,Family sure yes rock.,2025-05-01,2025-05-10,2.99,Improvement,High,Admin,U07
161,Computer get land court painting attention none direction.,2025-03-07,2025-03-10,7.61,Improvement,Medium,Research,U09
162,Day often perhaps field myself agreement.,2025-02-19,2025-02-23,1.12,Improvement,High,Research,U02
163,Prevent PM factor them word individual.,2025-05-07,2025-05-09,3.99,Bug,High,Support,U08
164,Board line indicate early.,2025-05-30,2025-06-06,5.48,Improvement,Low,Admin,U10
165,Treat suffer low national day responsibility.,2025-02-17,2025-02-24,3.14,Feature,Medium,Technical,U05
166,Relationship push international several.,2025-03-09,2025-03-15,6.06,Feature,Medium,Research,U07
167,Mr yes policy top.,2025-04-24,2025-04-28,6.59,Feature,Low,Research,U03
168,Our often identify series alone tell.,2025-02-20,2025-02-27,7.06,Bug,High,Support,U09
169,Very positive development ahead long.,2025-01-02,2025-01-06,6.86,Improvement,Medium,Technical,U06
170,Individual according mouth special good front.,2025-05-08,2025-05-13,5.79,Improvement,High,Support,U04
171,Newspaper cup marriage manager pay box avoid.,2025-05-20,2025-05-30,3.11,Improvement,High,Support,U10
172,Close why forget cost people.,2025-06-16,2025-06-24,3.94,Improvement,High,Support,U05
173,Federal interview gas able run marriage.,2025-05-13,2025-05-20,9.83,Improvement,Low,Support,U03
174,Term public fly should item federal why.,2025-06-10,2025-06-19,1.01,Feature,Medium,Admin,U03
175,Mother morning situation south north season order.,2025-03-12,2025-03-22,9.16,Feature,High,Technical,U03
176,Education without responsibility part.,2025-05-22,2025-06-01,2.73,Bug,Medium,Research,U10
177,Weight election everyone.,2025-01-13,2025-01-20,5.97,Improvement,Low,Support,U05
178,Bar thus figure but image.,2025-04-16,2025-04-23,6.86,Bug,High,Research,U10
179,Perhaps benefit white maybe.,2025-04-11,2025-04-13,3.7,Improvement,High,Technical,U01
180,Use daughter happen whatever class generation.,2025-02-05,2025-02-08,9.55,Bug,Low,Technical,U02
181,Amount free partner economic.,2025-02-11,2025-02-18,4.36,Improvement,Medium,Support,U04
182,Tonight growth early program.,2025-02-26,2025-02-28,9.34,Feature,Medium,Research,U06
183,Important particular respond.,2025-04-20,2025-04-30,4.25,Feature,Medium,Support,U03
184,Case picture table memory religious series exist.,2025-04-12,2025-04-17,8.02,Bug,High,Admin,U10
185,Region image himself.,2025-02-07,2025-02-15,9.14,Feature,Medium,Research,U07
186,Research bar close who factor be simple.,2025-02-24,2025-03-05,5.93,Bug,High,Admin,U10
187,Sit between cultural reality cup live price road.,2025-02-25,2025-02-27,3.19,Improvement,Low,Research,U07
188,Civil father soon institution baby.,2025-05-12,2025-05-15,5.26,Feature,Medium,Technical,U09
189,Executive safe poor performance another.,2025-03-10,2025-03-18,5.95,Bug,Medium,Admin,U09
190,Win space according until.,2025-04-30,2025-05-05,7.02,Improvement,Low,Research,U06
191,Recent industry every something.,2025-03-03,2025-03-05,5.19,Bug,Low,Research,U03
192,Our small on because.,2025-02-01,2025-02-05,2.88,Feature,High,Admin,U09
193,Dog page other range.,2025-05-23,2025-05-30,7.58,Improvement,Medium,Research,U08
194,Organization a like strong term.,2025-06-04,2025-06-13,9.48,Bug,Low,Research,U09
195,Close experience cell want.,2025-01-04,2025-01-09,2.33,Feature,Low,Admin,U02
196,Conference clearly today.,2025-04-30,2025-05-03,3.15,Feature,Low,Support,U10
197,Dream bed build reason.,2025-01-21,2025-01-26,2.26,Improvement,High,Support,U08
198,Young kind bit price go administration light.,2025-02-12,2025-02-14,8.69,Improvement,Medium,Research,U02
199,Seat high fund best.,2025-01-29,2025-02-03,1.48,Improvement,High,Research,U09
200,Very interview nature poor form way operation.,2025-04-17,2025-04-19,4.57,Feature,High,Support,U07
201,Control many explain.,2025-01-27,2025-01-31,3.06,Improvement,Low,Admin,U08
202,Anyone international both simple.,2025-01-14,2025-01-24,4.72,Improvement,Medium,Technical,U01
203,She those improve test.,2025-03-27,2025-03-30,7.16,Feature,Low,Research,U06
204,Couple store career really ago house north.,2025-03-23,2025-03-25,5.84,Improvement,High,Research,U05
205,Night section bit American real reflect teach.,2025-04-11,2025-04-14,3.59,Improvement,Medium,Technical,U09
206,Some still control state recent.,2025-01-11,2025-01-14,4.46,Bug,Medium,Research,U01
207,Fast wait movie usually.,2025-05-04,2025-05-08,3.62,Bug,High,Admin,U05
208,Decide hope behavior catch.,2025-04-11,2025-04-17,5.44,Bug,Low,Technical,U10
209,Until executive above attack eight at trade.,2025-04-24,2025-04-30,7.64,Bug,High,Technical,U03
210,Consider yes analysis skin care morning body.,2025-05-02,2025-05-07,5.56,Improvement,Medium,Technical,U06
211,Assume administration apply speech.,2025-03-26,2025-04-05,8.41,Feature,Low,Support,U07
212,Trip history magazine foot need.,2025-05-23,2025-05-28,5.49,Feature,Medium,Technical,U10
213,Whole training develop.,2025-05-19,2025-05-29,9.01,Bug,High,Research,U10
214,Condition hair skill of eight focus southern.,2025-03-19,2025-03-29,5.95,Feature,High,Admin,U04
215,Yes development whom summer.,2025-03-10,2025-03-11,7.14,Feature,Low,Admin,U08
216,Seven spend anything fact edge.,2025-04-22,2025-04-25,2.73,Improvement,High,Research,U03
217,Ever this recently improve energy try west good.,2025-05-25,2025-06-01,2.59,Feature,High,Technical,U04
218,Under but you full subject religious myself.,2025-03-04,2025-03-14,1.33,Improvement,High,Technical,U02
219,Certain generation teacher high during include.,2025-04-06,2025-04-10,1.36,Bug,Low,Technical,U05
220,She style hot all store.,2025-04-22,2025-04-25,8.93,Bug,Medium,Technical,U01
221,It maintain cell foot.,2025-01-05,2025-01-14,9.49,Bug,Low,Admin,U02
222,Can physical our special across.,2025-05-27,2025-06-01,2.46,Bug,Medium,Technical,U09
223,Know information least example theory leg production.,2025-02-08,2025-02-17,7.02,Bug,Medium,Technical,U08
224,Bill much meet all since.,2025-04-15,2025-04-22,1.62,Improvement,Medium,Support,U08
225,Word whole its we art.,2025-04-13,2025-04-19,9.46,Bug,Medium,Admin,U07
226,Party because kid ahead.,2025-01-04,2025-01-07,7.55,Bug,Medium,Support,U04
227,Agreement season challenge arrive.,2025-03-08,2025-03-10,5.79,Feature,Low,Technical,U01
228,Protect foreign apply own huge range learn.,2025-01-25,2025-02-04,3.49,Bug,High,Admin,U02
229,Size two so discussion lot.,2025-01-29,2025-02-08,9.62,Feature,Low,Research,U08
230,Parent want like prepare eight.,2025-01-18,2025-01-22,6.68,Improvement,High,Technical,U03
231,Federal citizen resource upon.,2025-04-19,2025-04-24,8.48,Bug,High,Admin,U09
232,Doctor meet per.,2025-05-11,2025-05-18,1.65,Bug,Medium,Support,U10
233,Professional fire past necessary generation.,2025-05-05,2025-05-10,3.27,Improvement,Low,Research,U04
234,Party top season allow raise.,2025-06-08,2025-06-11,7.73,Feature,Medium,Technical,U09
235,Central clearly site kitchen money reality.,2025-04-02,2025-04-12,6.53,Feature,Low,Technical,U02
236,Fly little work case nor without ability.,2025-05-06,2025-05-16,5.57,Bug,Low,Research,U05
237,Key likely debate range his.,2025-02-26,2025-03-08,8.42,Feature,Low,Support,U07
238,Professor energy thousand to accept shoulder.,2025-04-17,2025-04-27,2.65,Improvement,Medium,Technical,U10
239,Property age subject television sea sport table.,2025-03-29,2025-03-31,2.43,Feature,Low,Support,U03
240,Forget training remain kid something.,2025-04-15,2025-04-18,4.73,Improvement,Medium,Technical,U09
241,Much industry dog turn side probably.,2025-03-21,2025-03-28,1.91,Feature,High,Research,U02
242,Program matter campaign fight voice job avoid.,2025-04-03,2025-04-09,4.19,Bug,Medium,Admin,U05
243,Mouth break return lawyer recognize score offer.,2025-03-22,2025-03-25,8.13,Feature,Medium,Technical,U04
244,Red unit society main.,2025-05-21,2025-05-24,3.03,Feature,High,Technical,U07
245,Accept south speech region head.,2025-02-13,2025-02-18,8.6,Bug,Medium,Technical,U08
246,Game either adult audience.,2025-05-14,2025-05-17,3.32,Feature,High,Research,U05
247,Control edge past serious worker sing news.,2025-06-09,2025-06-17,2.92,Feature,High,Support,U03
248,Any spend yeah might central only need up.,2025-04-10,2025-04-20,3.28,Bug,Low,Research,U02
249,Science traditional another run authority.,2025-04-15,2025-04-21,6.31,Feature,Medium,Research,U02
250,Mission production wonder huge indicate.,2025-01-29,2025-02-03,9.07,Improvement,Medium,Technical,U03
251,Exactly century set important.,2025-01-04,2025-01-13,5.23,Bug,Medium,Admin,U06
252,Identify start together.,2025-04-09,2025-04-17,7.59,Improvement,Low,Support,U03
253,Group agency Democrat majority let seven husband.,2025-02-16,2025-02-18,1.88,Improvement,Medium,Support,U03
254,Style star research land born.,2025-01-09,2025-01-14,7.67,Feature,Low,Technical,U01
255,Tough small determine visit employee skill.,2025-06-18,2025-06-27,3.35,Bug,Medium,Research,U02
256,Pattern affect support carry add nor single.,2025-03-29,2025-04-02,5.9,Bug,Medium,Research,U03
257,Ask finish according message break.,2025-02-18,2025-02-27,9.6,Bug,Medium,Admin,U02
258,None hot policy.,2025-05-28,2025-06-07,1.3,Bug,Medium,Admin,U06
259,Building choice subject.,2025-05-11,2025-05-16,9.04,Feature,High,Technical,U06
260,Why like instead money risk.,2025-04-09,2025-04-17,9.22,Improvement,Medium,Research,U08
261,Admit several herself the yourself.,2025-05-30,2025-05-31,8.37,Improvement,Medium,Support,U02
262,Environmental develop least.,2025-05-17,2025-05-22,6.24,Feature,Low,Technical,U05
263,Find matter not than child fight.,2025-01-19,2025-01-20,9.74,Improvement,Medium,Support,U03
264,Woman national increase professor billion away month.,2025-03-08,2025-03-16,3.35,Feature,Low,Technical,U09
265,Data just morning single everybody.,2025-05-22,2025-05-28,7.02,Improvement,Medium,Admin,U03
266,Necessary fight occur almost rich.,2025-01-04,2025-01-11,6.91,Feature,High,Technical,U08
267,Subject adult opportunity natural money like activity.,2025-03-14,2025-03-20,1.92,Improvement,Medium,Technical,U08
268,Senior value leg.,2025-06-17,2025-06-23,4.31,Feature,High,Technical,U04
269,Positive indicate many build style those world.,2025-06-03,2025-06-07,4.07,Bug,High,Research,U05
270,Long activity cut reality.,2025-06-18,2025-06-25,7.39,Bug,Low,Support,U08
271,Manage significant we drug act.,2025-05-04,2025-05-14,8.32,Feature,Medium,Research,U03
272,Least would activity force high.,2025-01-08,2025-01-10,8.35,Bug,High,Support,U10
273,Control artist fish save.,2025-05-21,2025-05-24,5.12,Bug,Medium,Admin,U09
274,Ahead than consider firm charge seat staff.,2025-06-01,2025-06-09,3.38,Improvement,Medium,Support,U03
275,Sound fact child be wish.,2025-01-09,2025-01-12,4.42,Feature,Medium,Technical,U10
276,Start something face book direction.,2025-02-04,2025-02-11,9.63,Improvement,Low,Admin,U07
277,Employee thousand whether growth near.,2025-03-27,2025-03-30,7.12,Improvement,High,Support,U03
278,Help arrive per according kind amount go.,2025-03-31,2025-04-04,5.52,Feature,High,Technical,U07
279,Respond six together.,2025-01-30,2025-02-09,7.63,Bug,High,Admin,U05
280,Before south move my majority any direction own.,2025-02-05,2025-02-14,1.08,Bug,Medium,Admin,U05
281,Major assume never herself sister.,2025-04-07,2025-04-15,5.82,Feature,Low,Admin,U10
282,Pressure minute risk ability expert improve party argue.,2025-03-18,2025-03-19,5.86,Bug,High,Admin,U07
283,Indicate myself ready right hot it.,2025-01-02,2025-01-05,9.48,Improvement,High,Admin,U03
284,Build book best western oil.,2025-05-11,2025-05-14,4.76,Improvement,Medium,Research,U05
285,With parent somebody husband old idea.,2025-02-19,2025-02-22,3.47,Improvement,Low,Support,U07
286,Base sea season bill peace fear deep.,2025-01-05,2025-01-15,7.34,Feature,Low,Research,U09
287,Do fish positive.,2025-02-20,2025-03-02,1.98,Bug,High,Research,U09
288,Ever charge provide process sing.,2025-05-17,2025-05-22,5.21,Improvement,High,Technical,U06
289,Send candidate indicate.,2025-05-06,2025-05-07,7.65,Bug,Medium,Technical,U05
290,Once pick today probably.,2025-05-09,2025-05-18,5.3,Improvement,Low,Research,U09
291,Another page treatment development.,2025-02-28,2025-03-02,5.81,Bug,High,Research,U10
292,Five oil allow several floor.,2025-03-16,2025-03-25,8.94,Feature,Low,Technical,U06
293,Dream when know sign other focus drop.,2025-02-06,2025-02-13,7.4,Improvement,Low,Technical,U06
294,Be memory energy he management sell sister member.,2025-03-13,2025-03-20,1.44,Improvement,Low,Admin,U05
295,More rule radio race watch.,2025-03-18,2025-03-20,2.15,Bug,High,Support,U08
296,Ball certainly significant everything skill believe always indicate.,2025-01-16,2025-01-20,4.42,Bug,Medium,Admin,U02
297,Fear trial economic help pass.,2025-01-03,2025-01-08,5.94,Improvement,Low,Research,U04
298,Increase material some buy benefit why.,2025-04-06,2025-04-10,6.96,Feature,Low,Support,U03
299,Occur type quite if and make.,2025-06-08,2025-06-09,1.4,Improvement,Low,Research,U10
300,Budget their risk student figure would look vote.,2025-05-28,2025-06-02,4.95,Bug,Medium,Technical,U09
301,Since need truth space thought former way.,2025-05-25,2025-06-04,3.12,Feature,High,Technical,U03
302,Reach avoid describe our quality tree consider.,2025-05-10,2025-05-15,9.71,Improvement,Medium,Support,U07
303,Side important buy number get.,2025-04-02,2025-04-07,7.27,Feature,High,Admin,U07
